name,datetime,type,size,count_total,count_filtered
20211201/20211201225300.json.gz,2023-05-04 10:36:04,extraction,1651188,2469.0,10.0
20211201/20211201224200.json.gz,2023-05-04 10:36:05,extraction,1653856,2527.0,3.0
20211201/20211201224900.json.gz,2023-05-04 10:36:05,extraction,1527838,2283.0,2.0
20211201/20211201224700.json.gz,2023-05-04 10:36:06,extraction,1652117,2454.0,4.0
20211201/20211201224600.json.gz,2023-05-04 10:36:07,extraction,1659353,2482.0,4.0
20211201/20211201224400.json.gz,2023-05-04 10:36:07,extraction,1653874,2413.0,2.0
20211201/20211201224500.json.gz,2023-05-04 10:36:08,extraction,1541359,2316.0,5.0
20211201/20211201223500.json.gz,2023-05-04 10:36:09,extraction,1664520,2477.0,4.0
20211201/20211201224300.json.gz,2023-05-04 10:36:09,extraction,1655314,2481.0,6.0
20211201/20211201224100.json.gz,2023-05-04 10:36:10,extraction,1656108,2489.0,4.0
20211201/20211201223600.json.gz,2023-05-04 10:36:10,extraction,1512558,2275.0,1.0
20211201/20211201221100.json.gz,2023-05-04 10:36:11,extraction,1652816,2505.0,4.0
20211201/20211201224800.json.gz,2023-05-04 10:36:11,extraction,1665480,2486.0,3.0
20211201/20211201225000.json.gz,2023-05-04 10:36:12,extraction,1659156,2459.0,6.0
20211201/20211201223700.json.gz,2023-05-04 10:36:12,extraction,1663155,2468.0,6.0
20211201/20211201223900.json.gz,2023-05-04 10:36:13,extraction,1529376,2293.0,3.0
20211201/20211201223100.json.gz,2023-05-04 10:36:13,extraction,1518259,2290.0,5.0
20211201/20211201222800.json.gz,2023-05-04 10:36:14,extraction,1645865,2492.0,3.0
20211201/20211201223200.json.gz,2023-05-04 10:36:14,extraction,1643741,2425.0,4.0
20211201/20211201222700.json.gz,2023-05-04 10:36:15,extraction,1525555,2268.0,4.0
20211201/20211201223300.json.gz,2023-05-04 10:36:15,extraction,1658720,2522.0,2.0
20211201/20211201222900.json.gz,2023-05-04 10:36:16,extraction,1517863,2291.0,6.0
20211201/20211201222500.json.gz,2023-05-04 10:36:16,extraction,1652244,2464.0,6.0
20211201/20211201222600.json.gz,2023-05-04 10:36:17,extraction,1522662,2271.0,2.0
20211201/20211201223400.json.gz,2023-05-04 10:36:17,extraction,1665291,2493.0,1.0
20211201/20211201223800.json.gz,2023-05-04 10:36:18,extraction,1654619,2475.0,5.0
20211201/20211201222300.json.gz,2023-05-04 10:36:18,extraction,1659205,2498.0,6.0
20211201/20211201222100.json.gz,2023-05-04 10:36:19,extraction,1658734,2481.0,4.0
20211201/20211201222200.json.gz,2023-05-04 10:36:20,extraction,1661187,2502.0,6.0
